Bowlers/4,Bowlers/5,Bowlers/Player,Bowlers/Span,Bowlers/Mat,Bowlers/Inns,Bowlers/Overs,Bowlers/Mds,Bowlers/Runs,Bowlers/Wkts,Bowlers/BBI,Bowlers/Ave,Bowlers/Econ,Bowlers/SR
1,1,TG Southee (NZ),2008-2022,107,105,389.1,3,3179,134,5/18,23.72,8.16,17.4
5,1,Shakib Al Hasan (BAN),2006-2022,109,107,397.3,3,2716,128,5/20,21.21,6.83,18.6
4,2,Rashid Khan (AFG/ICC),2015-2023,75,75,284.2,1,1788,124,5/3,14.41,6.28,13.7
3,0,IS Sodhi (NZ),2014-2023,91,89,317.1,0,2555,114,4/28,22.41,8.05,16.6
1,2,SL Malinga (SL),2006-2020,84,83,299.5,1,2225,107,5/6,20.79,7.42,16.8
3,0,Shadab Khan (PAK),2017-2022,84,80,299.1,3,2105,98,4/8,21.47,7.03,18.3
3,0,Shahid Afridi (ICC/PAK),2006-2018,99,97,361.2,4,2396,98,4/11,24.44,6.63,22.1
3,1,Mustafizur Rahman (BAN),2015-2022,78,77,278.4,6,2129,97,5/22,21.94,7.63,17.2
3,0,CJ Jordan (ENG),2014-2022,84,83,294.5,2,2571,95,4/6,27.06,8.72,18.6
2,0,AU Rashid (ENG),2009-2022,92,88,320.2,4,2378,93,4/2,25.56,7.42,20.6
2,1,YS Chahal (IND),2016-2023,75,74,276.0,2,2246,91,6/25,24.68,8.13,18.1
2,0,MJ Santner (NZ),2015-2023,83,82,286.2,2,2021,91,4/11,22.20,7.05,18.8
3,2,B Kumar (IND),2012-2022,87,86,298.3,10,2079,90,5/4,23.10,6.96,19.9
2,0,PWH de Silva (SL),2019-2023,55,53,197.4,1,1345,89,4/9,15.11,6.80,13.3
2,1,S Lamichhane (ICC/NEPAL),2018-2022,44,44,166.5,3,1068,85,5/9,12.56,6.40,11.7
4,0,Saeed Ajmal (PAK),2009-2015,64,63,238.2,2,1516,85,4/19,17.83,6.36,16.8
4,2,Umar Gul (PAK),2007-2016,60,60,200.3,2,1443,85,5/6,16.97,7.19,14.1
3,0,Mohammad Nabi (AFG),2010-2022,104,100,324.4,5,2375,84,4/10,28.27,7.31,23.1
0,1,A Zampa (AUS),2016-2022,72,71,256.5,1,1781,82,5/19,21.71,6.93,18.7
1,0,GH Dockrell (IRE),2010-2023,115,85,256.2,1,1833,81,4/20,22.62,7.15,18.9
2,0,MR Adair (IRE),2019-2023,61,61,213.5,2,1644,80,4/23,20.55,7.68,16.0
3,0,DJ Bravo (WI),2006-2021,91,77,250.5,0,2036,78,4/19,26.10,8.11,19.2
2,0,TA Boult (NZ),2013-2022,55,55,209.3,2,1647,74,4/13,22.25,7.86,16.9
2,1,T Shamsi (SA),2017-2022,59,59,214.4,1,1534,73,5/24,21.01,7.14,17.6
1,0,MA Starc (AUS),2012-2022,58,58,219.0,2,1673,73,4/20,22.91,7.63,18.0
2,0,R Ashwin (IND),2010-2022,65,65,242.0,3,1672,72,4/8,23.22,6.90,20.1
1,0,Haris Rauf (PAK),2020-2022,57,55,204.4,1,1652,72,4/22,22.94,8.07,17.0
3,0,Bilal Khan (OMA),2015-2022,53,52,187.1,6,1201,71,4/19,16.91,6.41,15.8
0,0,JJ Bumrah (IND),2016-2022,60,59,213.5,9,1416,70,3/11,20.22,6.62,18.3
3,0,HH Pandya (IND),2016-2023,87,76,223.5,1,1824,69,4/16,26.43,8.14,19.4
2,0,SO Ngoche (KENYA),2010-2022,57,55,189.0,3,1170,67,4/14,17.46,6.19,16.9
2,0,KMDN Kulasekara (SL),2008-2017,58,58,205.1,6,1530,66,4/31,23.18,7.45,18.6
3,2,BAW Mendis (SL),2008-2014,39,39,147.3,5,952,66,6/8,14.42,6.45,13.4
1,0,SCJ Broad (ENG),2006-2014,56,55,195.3,2,1491,65,4/24,22.93,7.62,18.0
2,0,DW Steyn (SA),2007-2020,47,47,169.1,3,1175,64,4/9,18.35,6.94,15.8
2,0,PA van Meekeren (NED),2013-2022,58,56,194.1,2,1358,64,4/11,21.21,6.99,18.2
2,2,Imran Tahir (SA/World),2013-2019,38,38,140.5,0,948,63,5/23,15.04,6.73,13.4
2,0,SM Sharif (SCOT),2012-2022,57,56,194.1,0,1596,63,4/24,25.33,8.21,18.4
2,0,JB Little (IRE),2016-2022,53,52,192.2,2,1473,62,4/23,23.75,7.65,18.6
0,1,MRJ Watt (SCOT),2015-2022,52,50,186.0,2,1303,62,5/27,21.01,7.00,18.0
1,0,Mohammad Hafeez (PAK),2006-2021,119,79,210.1,3,1388,61,4/10,22.75,6.60,20.6
1,0,Rohan Mustafa (UAE),2014-2023,56,54,178.2,3,1232,61,4/18,20.19,6.90,17.5
1,0,Hasan Ali (PAK),2016-2022,50,49,169.1,5,1414,60,4/18,23.56,8.35,16.9
2,1,Karan KC (NEPAL),2015-2022,43,43,143.4,3,1057,60,5/21,17.61,7.35,14.3
1,0,Mohammad Amir (PAK),2009-2020,50,50,179.5,5,1263,59,4/13,21.40,7.02,18.2
0,0,Aizaz Khan (HKG),2014-2022,49,49,163.5,3,1179,58,3/10,20.32,7.19,16.9
4,0,JR Hazlewood (AUS),2013-2022,41,41,153.4,4,1181,58,4/12,20.36,7.68,15.8
2,0,NL McCullum (NZ),2007-2016,63,59,187.1,0,1278,58,4/16,22.03,6.82,19.3
2,1,L Ngidi (SA),2017-2022,36,36,119.0,0,1061,58,5/39,18.29,8.91,12.3
1,0,KJ O'Brien (IRE),2008-2021,110,52,152.5,0,1149,58,4/45,19.81,7.51,15.8
