Player,Innings,Maidans,Runs_conceded,wickets,Bowling_Avg,Economy,Bowling_Strike rate
TG Southee (NZ),105,3,3179,134,23.72,8.16,17.4
Shakib Al Hasan (BAN),107,3,2716,128,21.21,6.83,18.6
Rashid Khan (AFG/ICC),75,1,1788,124,14.41,6.28,13.7
IS Sodhi (NZ),89,0,2555,114,22.41,8.05,16.6
SL Malinga (SL),83,1,2225,107,20.79,7.42,16.8
Shadab Khan (PAK),80,3,2105,98,21.47,7.03,18.3
Shahid Afridi (ICC/PAK),97,4,2396,98,24.44,6.63,22.1
Mustafizur Rahman (BAN),77,6,2129,97,21.94,7.63,17.2
CJ Jordan (ENG),83,2,2571,95,27.06,8.72,18.6
AU Rashid (ENG),88,4,2378,93,25.56,7.42,20.6
YS Chahal (IND),74,2,2246,91,24.68,8.13,18.1
MJ Santner (NZ),82,2,2021,91,22.2,7.05,18.8
B Kumar (IND),86,10,2079,90,23.1,6.96,19.9
PWH de Silva (SL),53,1,1345,89,15.11,6.8,13.3
S Lamichhane (ICC/NEPAL),44,3,1068,85,12.56,6.4,11.7
Saeed Ajmal (PAK),63,2,1516,85,17.83,6.36,16.8
Umar Gul (PAK),60,2,1443,85,16.97,7.19,14.1
Mohammad Nabi (AFG),100,5,2375,84,28.27,7.31,23.1
A Zampa (AUS),71,1,1781,82,21.71,6.93,18.7
GH Dockrell (IRE),85,1,1833,81,22.62,7.15,18.9
MR Adair (IRE),61,2,1644,80,20.55,7.68,16.0
DJ Bravo (WI),77,0,2036,78,26.1,8.11,19.2
TA Boult (NZ),55,2,1647,74,22.25,7.86,16.9
T Shamsi (SA),59,1,1534,73,21.01,7.14,17.6
MA Starc (AUS),58,2,1673,73,22.91,7.63,18.0
R Ashwin (IND),65,3,1672,72,23.22,6.9,20.1
Haris Rauf (PAK),55,1,1652,72,22.94,8.07,17.0
Bilal Khan (OMA),52,6,1201,71,16.91,6.41,15.8
JJ Bumrah (IND),59,9,1416,70,20.22,6.62,18.3
HH Pandya (IND),76,1,1824,69,26.43,8.14,19.4
SO Ngoche (KENYA),55,3,1170,67,17.46,6.19,16.9
KMDN Kulasekara (SL),58,6,1530,66,23.18,7.45,18.6
BAW Mendis (SL),39,5,952,66,14.42,6.45,13.4
SCJ Broad (ENG),55,2,1491,65,22.93,7.62,18.0
DW Steyn (SA),47,3,1175,64,18.35,6.94,15.8
PA van Meekeren (NED),56,2,1358,64,21.21,6.99,18.2
Imran Tahir (SA/World),38,0,948,63,15.04,6.73,13.4
SM Sharif (SCOT),56,0,1596,63,25.33,8.21,18.4
JB Little (IRE),52,2,1473,62,23.75,7.65,18.6
MRJ Watt (SCOT),50,2,1303,62,21.01,7.0,18.0
Mohammad Hafeez (PAK),79,3,1388,61,22.75,6.6,20.6
Rohan Mustafa (UAE),54,3,1232,61,20.19,6.9,17.5
Hasan Ali (PAK),49,5,1414,60,23.56,8.35,16.9
Karan KC (NEPAL),43,3,1057,60,17.61,7.35,14.3
Mohammad Amir (PAK),50,5,1263,59,21.4,7.02,18.2
Aizaz Khan (HKG),49,3,1179,58,20.32,7.19,16.9
JR Hazlewood (AUS),41,4,1181,58,20.36,7.68,15.8
NL McCullum (NZ),59,0,1278,58,22.03,6.82,19.3
L Ngidi (SA),36,0,1061,58,18.29,8.91,12.3
KJ O'Brien (IRE),52,0,1149,58,19.81,7.51,15.8
