id,Player,country,Innings,Runs,Batting_avg,wickets,Bowling_avg,Catches
1,Mohammad Hafeez*,Pakistan,108,2514,26.46,61,22.38,30
2,Shoaib Malik*,ICC World XI,111,2435,31.22,28,24.11,50
3,Shakib Al Hasan*,Bangladesh,107,2243,23.12,128,21.22,25
4,G J Maxwell*,Australia,90,2159,28.41,39,27.59,41
5,Mahmudullah*,Bangladesh,113,2122,23.58,38,26.63,46
6,K J O'Brien*,Ireland,103,1973,21.22,58,19.81,40
7,Mohammad Nabi*,Afghanistan,96,1686,21.08,84,28.27,54
8,K A Pollard*,West Indies,83,1569,25.31,42,28.29,43
9,Shahid Afridi,ICC World XI,91,1416,17.92,98,24.45,30
10,H H Pandya*,India,67,1271,25.42,69,26.43,44
11,Sikandar Raza*,Zimbabwe,63,1259,20.98,38,26.66,28
12,D J Bravo*,West Indies,74,1255,22.02,78,26.1,44
13,N L T C Perera*,ICC World XI,74,1204,23.15,51,33.67,30
14,C O Obuya*,Kenya,48,1111,29.24,25,18.08,28
15,R P Burl*,Zimbabwe,53,882,25.94,39,21.36,29
16,G H Dockrell*,Ireland,70,842,20.05,81,22.63,55
17,P M Seelaar*,Netherlands,46,591,17.38,58,22.24,32
18,D J G Sammy,West Indies,52,587,17.26,44,25.36,31
19,M J Santner*,New Zealand,56,530,17.10,91,22.21,31
